Marca temporal,Escribe tu historia: ,Crea un #hashtag o título para tu historia:,La historia que contaste te generó una sensación de:  ,Tu historia sucede:,Mientras escribiste la historia sentiste que:,Tu historia esta relacionada con: ,La historia que relataste involucra a:,"En el siguiente conjunto de preguntas haz clic en el número 1) si la característica ubicada a la izquierda es la que más se acerca a tus preferencias, en 2) si para ti está bien tanto la característica de la derecha como la de la izquierda y en 3) si prefieres la característica de la derecha. Empecemos... Al hacer un trabajo prefieres realizarlo:",El proceso de aprendizaje tiene mejores resultados para ti cuando sucede: ,Es más relevante para ti aprender cosas que tengan importancia para:,¿Qué grado estás cursando? ,¿Cuántos años tienes?,Eres:,Vives con... (puedes marcar más de una opción) ,Institución Educativa 
9/30/2019 9:26:14,"mi historia comienza con una gran institución como lo es el colegio la avanzada, estoy desde el grado preescolar y eh pasado   toda mi vida estudiantil en esta institución. mi ultimo grado como estudiante me deja muy buenas enseñanzas y recuerdos bueno como malos, estoy agradecidos con los grandes profesores que me ayudaron a formar como una  gran persona y por supuestos sus gran des consejos para la vida laboral, esta institución non se basa solo en ensear si no también en crear personas para el bien de la sociedad y personas con grandes propósitos en la vida", #micologioes ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Innovación y creatividad,Tus docentes,1,1,3,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:26:43,me motiva la actitud y el el esmero que ponen todos los días los docentes de la institución para que todos los estudiantes se superen tanto individual como grupal.,#superación,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,2,2,1,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:26:51,"En la comuna 1 he vivido toda mi vida y siempre a pesar de ser una mala fama todo tiene su lado bueno, como nuestra uva que ha sido un gran lugar para pasar nuestro tiempo libre y es muy recreativo y si hablar de las instituciones son excelente solo que nosotros mismo hacemos que todo no parezca así,he vivido cosas muy buenas y eh visto el mejoramiento de la comunidad como del colegio en el que estudio han venido profesores excelentes y he aprendido demasiado gracias a mi colegio y comunidad.",#mejoramientodemicomuna,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Innovación y creatividad,Tu familia y/o cuidadores,2,2,2,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:27:23,"En el barrio la avanzada es muy habitual el deporte ya que eso nos motiva a que no cojamos malos caminos , nos ayuda también para nuestra salud y sobre todo es muy eficiente por que reúne  a toda la comunidad para que que disfruten del espetaculo y compartan en familia .",Compromiso y dedicación ,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,Tu familia y/o cuidadores,3,1,3,11,18,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:27:31,"En mi parte me motiva mucho ir a la escuela por que gracias a ello puedo experimentar y aprender muchísimas cosas, gracias a todo lo que nuestros docentes nos han enseñado hemos podido aprender múltiples cosas las cuales las podemos poder en practica en nuestro día cotidiano, gracias a estos conocimientos podemos ser mejor persona cada día y salir adelante; nos ayudan a convivir mas con nuestros compañeros, a trabajar mas en equipo; por otra parte lo que más me desmotiva para ir al colegio es la distancia de mi casa a zona educativa, otra de las cosas que más des motivación me da es todo el ruido que hay a nuestro alrededor, ya que no nos podemos concentrar para adquirir mejor los conocimientos que nos están brindando cada día de clases.  ",#MOTIVACIONESYDES-MOTIVACIONES,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,2,2,3,11,17,Mujer,Papá,I. E. La Avanzada
9/30/2019 9:29:05,el colegio es ese lugar donde pasas tus mejores tiempos pensando siempre todo lo contrario y es cuando sales de este que te das cuenta lo maravilloso que era realmente el colegio,#enelcole,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ocio y tiempo libre,Tus compañeros,3,1,1,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:29:26,"En una zona rural donde normalmente las personas son centradas en lo que les incumbe y es de su conveniencia(no les importa los demás). Un día en esta zona, llega una familia común y corriente, la cual a primera vista se ve poco gentil. Las personas de esta zona se sorprenden porque un integrante(niño) de la familia es muy diferente a lo que están acostumbrados a ver en la zona en la que viven. Lo diferente que ven, es que este niño es que se preocupa por las persona que viven y no viven en la zona, se preocupa por la forma en la que se ve el entorno, el medio ambiente y problemas que enfrentan las personas. Esto conmovió a las personas de esta zona , lo cual hizo que lo que era monotonia, se convirtiera en autonomia.  ",#ElCambioEsPosible,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Un Cambio.,Tus compañeros,2,1,2,11,18,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:30:07,"Bueno, partiendo de lo que me motiva yo diría que es las ganas y ancías de que esta etapa académica de culmine ya, pues tengo mucho afán de iniciar una nueva fase en mi vida, en la que cosas como la responsabilidad y demás aspectos empiezan a tener suma importancia y al fin empezaré a aplicar todo lo inculcado por los directivos y docentes de mi institución. 

Y hablando de lo que me desmotiva es la indiferencia que manejan cada uno de los integrantes de mí aula de clase, la falta de unión que acá se siente; en conclusión es algo que nos está afectando a todos, pues años anteriores no era así, y da tristeza saber que muchos de nosotros saldremos de acá con la idea de  que eso fué así.",#SePerdióLaIntegridad,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,2,1,3,11,16,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:32:18,"primero que todo me gusta ir ala escuela 
                           motivacion
me motiva a aprender cosas nuevas 
me motiva a crear mi proyecto de vida 
me motiva a identificar quien soy y para que soy bueno
                          desmotivacion 
ninguna ya que veo la escuela como mi segundo hogar y me siento feliz de saber que tengo un 2 hogar que me brinda todos mis beneficios ",# escuela mi segundo hogar ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Innovación y creatividad,Tus docentes,2,1,3,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:33:51,"un lugar en el cual pasas tus mejores momentos, con personas que consideras importantes para tu vida, en el que te apoyan incondicionalmente, te brindan un apoyo sin importar nada, ni las circunstancias,por la simple razón que te apoyan a que salgas adelante, cometamos o no cometamos errores.
siempre están ahí para dar lo mejor de si y darnos su mejor enseñanza.  ",apoyo incondicional,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,2,2,2,11,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:34:10,"en la institución hay algo que no es muy bueno y es la comunicación que tiene los estudiantes entre ellos mismos ya que cada cual tiene formas diferentes de pensar y por  esta razón hay compañeros que le hacen bullyng  a estos .
",#yorespetoamiscompañeros,No estás seguro,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,1,2,3,9,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:34:48,"Me motiva mucho ayudar a mi familia económicamente ya que son de muy bajos recursos, ser una gran profesional y ayudar a muchas personas a cumplir sus sueños que tengan una buena educación y a satisfacer sus necesidades.

Me gusta mucho esta institución ya que nos enseñan demasiado ya sea aduicativamente o también nos enseñan mucho sobre la sociedad y sus problemas.La mayoría de los docentes nos demuestran mucho cariño y apoyo.

Lo que me desmotiva es que hay muchos estudiantes que molestan demasiado ya sea que nos jueguen o también hay familia que no creen en la capacidad que tengo o tenemos nosotros como estudiantes.
Pero mi lema es siempre adelante y a logar nuestras metas con la ayuda de Dios.",Lucha por lo que anhelas.,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,A ti,1,1,3,11,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:35:43,"lo que a me motiva de esta institución es su entorno en muchos sentidos ya que tiene un ambiente muy agradable, las personas son muy respetuosas y le brindan mucho apoyo al que llegue ala institución.",Al llegar ala IE,Felicidad,Todo el tiempo,Te confundiste y no sabías qué contar,Convivencia,Tus compañeros,3,1,2,11,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:37:05,"La institución  es originalmente un ambiente para compartir, socializar y aprender.
Y precisamente por esa ultima palabra que existe la motivación para asistir al colegio, pero muchas veces esto se convierte en algo contradictorio al no permitir o brindar espacios que sean para el desarrollo y exploración  de las virtudes de la persona, al encasillar en conocimiento solo a pruebas sistematizadas, talleres y conocimientos encuadrados a formulas o situaciones predeterminadas, ""cortando"" por así decirlo, la capacidad propia de la mente humana a crear, soñar, explorar e imaginar. Convirtiendo  así el arte, la expresión de emociones, y el conocimiento de si mismo en un tema de poco interés.  ",#Sistematizacióndeconciencia ,Angustia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus docentes,1,1,3,11,19,Mujer,Papá,I. E. La Avanzada
9/30/2019 9:37:22,mi historia seria trabajar duro para sacar mi familia adelante. pienso q despues de estudiar pagar servisio militar como soldado y despues salir a trabajar aguna carera de estudio para volberme un profesional.,trabajo duro,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Medio ambiente,Tu familia y/o cuidadores,3,1,3,11,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:44:13,"mi historia mas motivadora fue cuando pase al grado décimo y todos los logros que e logrado acá en la Institucion , todo lo que e aprendido y las amistades que tengo en el colegio.",momentos inolvidables ,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,2,3,1,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:44:39,"la discriminación,rechazos, peleas y prejuicios sociales se ve en el sector y en la misma institución educativa. esto puede afectar mucho la vida social y académica del estudiante",#BASTADEPREJUCIOS,No estás seguro,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Bullying,Tus compañeros,1,2,2,10,17,Otro,Mamá,I. E. La Avanzada
9/30/2019 9:45:02,"me motiva: compartir con los compañeros, venir a aprender cosas nuevas estar en constante movimiento.",las cosas vividas con amor y felicidad nuca se olvidan por eso el colegio es el mejor recuerdo que nos queda.,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,A ti,2,2,3,10,18,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:45:35,una vez estaba iba para el colegio y llegue tarde y no me dejaron entrar y me pusieron anotacion y no me dejaron entrar,no me dejaron entrar al colegio ,Rabia,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Resolución de conflictos,A ti,1,2,2,10,15,Hombre,Otros familiares,I. E. La Avanzada
9/30/2019 9:47:39,"Una historia o experiencia motivante que he vivido en la institución es la apertura y el resultado que empieza a dejar el comité de artes de la institución; mostrando consigo el talento que puede tener el colegio, y así mismo poder resaltar estas capacidades.",#LaMusicaCambiaElCole,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Innovación y creatividad,Tus compañeros,1,2,2,10,16,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:47:50,"desde muy pequeña eh vivido con mi mamá ella lucha cada día para que yo siempre este bien, y salga adelante haciendo las cosas de la mejor manera y pueda lograr todo lo que me propongo y que juntas disfrutemos de los logros alcanzados ",Amor De Madre ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tu familia y/o cuidadores,1,2,3,10,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:48:00,mi historia empeso haci lo mas marabilloso que e tenido fue cuando dentramos a la media tecnica y conocimos a barias personas del colegio a los profesrores que son los que nos ayudan a construir nuestros sueños para salir adelante y que nunca nos podemos rendir ,#la felicidad de la vidad y los sueños ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,A ti,2,1,1,10,15,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:48:46,Hace 3 años en el año 2017 hubo un problema en la institución educativa donde fueron involucrados varios estudiantes y un profesor donde un día esos estudiantes consumían drogas y un día dentraron pólvora ala institución eran 6 estudiantes los cuales uno de ellos tiro un (taco) y el explosivo exploto dejando a muchas personas aturdidas de inmediato supieron quien fueron los 6 estudiantes que fueron del mismo salón y el que lo tiro fue sancionado del colegio con expulcion definitiva   de la institución. ,#Noalapolvora,No estás seguro,De vez en cuando,Te dio curiosidad e inventaste una historia,Resolución de conflictos,Tus compañeros,3,1,2,10,17,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:48:54,"Hace 2 años, en el grado 8, estuvimos unas compañeras y yo, haciendo unas actividades referente a la desigualdad de género, y nos pareció algo que llamo mucho la atención ya que todo esto es basado, en aprender a respetar a las demás personas. Sean iguales o diferentes a nosotros, estuvimos haciendo varias actividades.. Referente al tema y todas las personas se motivaban mucho, con este tipo de actividades, ya que años anteriores no se veían este tipo de actividades en la institución. Tuvimos un largo proceso para que todo saliera como se había planeado, y con la ayuda de mis compañeras lo logramos y estuvimos muy felices con nuestro resultado. ",#Noaladesigualdad,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,3,2,3,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:49:02,"diariamente me toca levantarme muy temprano ya que vivo muy lejos del colegio, me vengo lloviendo y como mi barrio no esta pavimentado es dificil mantenerme limpia y seca tanto como los zapatos como mi uniforme pero aun asi trato de no faltar al colegio, tengo mis metodos de como hacer para llegar y permanecer limpia para no afectar a los demas con mi higiene ",#mirutiniadiaria,Angustia,Todo el tiempo,Te confundiste y no sabías qué contar,Ninguna de las anteriores,A ti,2,2,3,10,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:49:09,"el grupo en el que estoy no me gusta por que no son unidos y no se respetan entre ambos, ",trabajo en equipo,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,2,1,1,10,16,Mujer,Abuela,I. E. La Avanzada
9/30/2019 9:51:04,"so muy significativas la variedad de cosas que hay que contar que suceden en el entorno académico, todas y cada una de las personas que por nuestras vidas pasan cada una de las historias en el concurso  de aprender 


para mi la mas significativa que me ha podido pasar fue que en el grado 7  el día que cumpli mis 15 el profesor jorge me enseño a bailar el val y para mi fue algo significativo



lo mas duro que me ha pasado fue perder  a un amigo de la histitucion.....",#loquevivesenelcolegiosolosucedeunaves,Felicidad,Muy rara vez,Te confundiste y no sabías qué contar,Ninguna de las anteriores,A ti,2,3,3,10,18,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:52:51,"Los procesos vocacionales e identificar eso que nos gusta, eso para lo que somos buenos y nos apasiona, destacar nuestras destrezas y habilidades, desarrollar capacidades como la creatividad, etcetera. A lo largo de los años se ha realizado varias talleres, charlas y salidas pedagógicas respecto a proyectos que nos encaminan a eso a lo que nos vamos a dedicar a cierto plazo. Que más que trabajar sea cumplir día a día con lo que nos gusta. Algunos talleres de esos fue una salida pedagógica a Ruta N en donde nos mostraron un poco de lo que se hace allí, ese día me sentí muy bien al conocer una de las actividades que me apasionan y a las que me quiero dedicar. Fue una satisfacción grande. A si mismo como lo es una clase gratificante con actividades muy dinámicas que despiertan en nosotros los alumnos un interés especial sin importar la materia que sea; los debates sobre temas muy bien acogidos entre nosotros que provocan sensaciones muy beneficiosas, eso me ha pasado en la institución.
",#esoquesomos,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Tecnología y herramientas digitales,A ti,2,2,3,10,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:53:35,"En mi primer día de clase me sentí muy mal ya que me alejaba del lugar donde siempre permanecía, en cual era mi casa ya que mi tía tenia guardería y siempre me había cuidado  ",#Cumpletussueños,No estás seguro,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tu familia y/o cuidadores,3,3,3,10,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:53:38,"era un día común y corriente en la I.E LA AVANZADA. se encontraba una de las estudiantes junto a su amiga, cuando vieron una señora pasando con su hijo pidiendo limosna, ambas se miraron por unos instantes. ellas concluyeron que querían, anhelaban seguir con sus estudios para darle una mejor vida a su madre y familia en general, para que nunca les tocara  estar en una situación así o similar, fue tan impactante la imagen para las estudiantes que desde ese momento se enfocaron mucho mas para sus estudios. hoy en día anhelan entrar a la universidad y cumplir sus sueños o metas para tener una vida  mejor",la cruel realidad de la vida,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Resolución de conflictos,Tus compañeros,1,1,2,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:53:49,"era al rededor de las 8:00 de  la noche  en que el  silencio era una  de ansiedad que da va  miedo y escalofríos,en el que el sentido de la razón no funcionaba.eso pensaba el niño con pensamiento de joven  que estaba a punto de entrar al sexto grado en el colegio la Avanzada, el estaban muy paranoico por que le da va miedo pensar en ese tiempo en el que estaría en el colegio el joven pero paso el tiempo el joven vio que el colegio es algo en el una puede estar cómodo y tranquilo es casi un  lugar en el que hemos soñado un lugar donde están ""los verdaderos amigos"" y con mucho pensamiento que rigen en el lugar para ser libre y poder ser uno mismo sin miedo de los de mas .el estudio  es algo importante para nuestras vidas y el colegio es nuestra segunda casa a un que hay algunos que dicen es la primera. el conocimiento es poder y con ese poder uno podrá ser libre y una vez libre hay eternidad.por eso no hay que tenerle miedo al conocimiento sino conectare con el para vivir con paz interior y para ello esta el colegio que el lugar perfecto para aprender a como sobrevivir  ",#elbuencolegio,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Alimentación,A ti,2,2,2,11,17,Hombre,Papá,I. E. La Avanzada
9/30/2019 9:54:13,"mi primer día de clases fue emocionante iba ah conocer personas nuevas,hacer nuevas amistades ese día fue muy bueno porque se estaba celebrando el día del amor y la amistad por parte de la institución trajeron mariachis los de 11 regalaron rosas a las profesoras nos dieron regalas fue un día muy hermoso y significativo para ser el primer día de clases",primer dia de clases,Felicidad,Muy rara vez,Te confundiste y no sabías qué contar,Convivencia,Tus compañeros,2,1,3,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:54:50,una vez estábamos afuera del colegio y estábamos con el  corillo reunido y ya todos se iban a ir para su casa y entonces un amigo llamado jhonatan nos dijo que esperáramos que iba a pelear y nosotros esperamos a que saliera el otro chino que era de décimo y cuando el otro chino iba saliendo jhonatan le dijo que si se iban para la uva a pelear y el otro chino no lo pensó y le mando un puño pero jhonatan se lo esquivo como si fuera matriz y jhonatan le empezó a meter unos puños jummm eso sonaba mas lindo jhonatan parecía Floyd Mayweather fusionado con conor mcgregor ya al otro día ayyyy ama ese otro chino de décimo con esa cara con meros morados y jhonatan como si nada mas meló que tres ,#jhonatan el matriz :V,Felicidad,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Un conflicto solucionado como se debe,Tus compañeros,3,2,2,10,16,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:54:56,yo vengo al colegio para poder salir adelante y ser una persona en la vida ,ser alguien en la vida,Felicidad,De vez en cuando,Te dio curiosidad e inventaste una historia,Innovación y creatividad,A ti,3,1,1,9,18,Hombre,Mamá,I. E. La Avanzada
9/30/2019 9:55:43,"Aveces al despertarme para ir al colegio me pregunto ¿por qué voy a ese colegio específicamente?, la respuesta es siempre la misma; porque me encanta. Y no solo el hecho de que dan una buena formación académica, sino también porque el colegio crea un sentido de pertenencia que provoca el quererlo y seguir en él sin importar las dificultades. ",#LaAvanzadaMiColegio,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,A ti,2,1,3,10,18,Hombre,Hermanos,I. E. La Avanzada
9/30/2019 9:55:44,"es una rutina que se vive día a día en el colegio donde solo es de tu casa al cole toda la semana es algo chevere aun que es mucho peso es necesario para nuestra vida ya que deseamos ser alguien mejor y profesional, es divertido compartir con los compañeros y profesores se aprende nuevas cosas y conocer sobre ellos es algo super emocionante, donde se aprende a hacer paciente y a convivir con nuevas personas",#unarutina1,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,2,1,1,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:56:23,"en mi constitución educativa  hace un  1 año  me paso con la materia de un profesor diciendo al todo el grupo grupo ya que habíamos echo un examen y ese día lo en bien   a otro correo que no era de el y luego ala otra clase dijo que todos ganaron y que yo era la única  que me había que dado en la materia de el luego le hice el reclamo que yo , lo había echo que  lo que paso fue que me equi boque en el correo y le dije que mediera la oportunidad de  volverse  lo a enviar  y dijo que no que dejara así que el no tenia problema luego pasaron las entregas de notas y me había que dado recuperado para enero me párese muy injusto por que dicen algo y luego dicen que nos son esa fue mi historia en a que un profesor dice algo y luego salen con con otra cosas gracia por su atención...",colegio,Angustia,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Evaluación,Tus docentes,3,1,1,10,18,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:56:41,"Se presentan burlas, nos bajan la autoestima con sus comentarios por el hecho de tener algún defecto como utilizar gafas,tener pircing ect.. 
 también discriminan la raza, el hecho de que le guste uno de su mismo sexo. 

Acá en esta institución hace aproximadamente 3 o 4 meses estaba un compañero que es gay y por la discriminación de los compañeros, burlas etc. se salio de la institución, Para mi este tipo de casos no deberían de pasar ya que que acá nos están es educando para ser una mejor persona no para ser unos mediocres 

",La discriminación ,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Bullying,Tus compañeros,2,3,2,10,16,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:57:25,"hace poco entre a esta institución,por el momento me ha parecido buena,ya que tiene media técnica, tiene muchas oportunidades de salir con bastante aprendizaje y lo mejor es que puedes salir con competencias laborales muy buenas,para mi el colegio en general a sido muy bueno,muy competitivo, me gusta la manera en que los profesores nos enseñan,nos brindan su apoyo, y muchass maneras de salir adelante en nuestras vidas. ",#laAvanzada,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus docentes,3,1,1,10,17,Mujer,Mamá,I. E. La Avanzada
9/30/2019 9:57:44,"es el primer dia de clase,todos los estudiantes entran en la jornada normal se inicia con una clase divertida  y se a de continuar asi toda la jornada",#primer_dia,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus compañeros,2,2,3,9,15,Hombre,Papá,I. E. La Avanzada
9/30/2019 9:58:14,cuando  un día  los estudiantes de bachillerato cerraron el colegio porque estaban reclamando recursos...los estudiantes le pusieron otro candado a la puerta de la salida y se sacaron un extintor... ,#los estudiantes reclamando sus derechos,Felicidad,Muy rara vez,Reflexionaste y aprendiste algo nuevo,Resolución de conflictos,Tus docentes,1,1,3,10,15,Hombre,Mamá,I. E. La Avanzada
